
April 13th 09:41:

train with FocalLoss+ weight, dropput 0.2:

[c-xwu000:OvarianCancer]#/home/hxie1/anaconda3/bin/python  /home/hxie1/Projects/OvarianCancer/TrainSegV.py /home/hxie1/temp_netParameters/OvarianCancer /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainImages /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainLabels

Program starting Time:  2019-04-12 16:31:54.787057
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer

Building the Segmented Slice Tuple list, please waiting......
Directory of /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainLabels has 441 segmented slices.
Input:  batchSize=64, depth=21, height=281, width=281, NumClassfication=4

Building the Segmented Slice Tuple list, please waiting......
Directory of /home/hxie1/data/OvarianCancerCT/Extract_uniform/testLabels has 141 segmented slices.
Input:  batchSize=64, depth=21, height=281, width=281, NumClassfication=4

Network has total 12854479 parameters.
Info: network dropout rate = 0.2
Network trains from scratch.

====================Net Architecture===========================
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv3d-1      [-1, 32, 9, 139, 139]           4,032
       BatchNorm3d-2      [-1, 32, 9, 139, 139]              64
         Dropout3d-3      [-1, 32, 9, 139, 139]               0
            Conv3d-4        [-1, 64, 3, 69, 69]          92,224
       BatchNorm3d-5        [-1, 64, 3, 69, 69]             128
         Dropout3d-6        [-1, 64, 3, 69, 69]               0
            Conv3d-7       [-1, 128, 1, 33, 33]         614,528
       BatchNorm3d-8       [-1, 128, 1, 33, 33]             256
         Dropout3d-9       [-1, 128, 1, 33, 33]               0
           Conv2d-10          [-1, 256, 15, 15]         819,456
      BatchNorm2d-11          [-1, 256, 15, 15]             512
        Dropout2d-12          [-1, 256, 15, 15]               0
           Conv2d-13            [-1, 512, 7, 7]       1,180,160
      BatchNorm2d-14            [-1, 512, 7, 7]           1,024
        Dropout2d-15            [-1, 512, 7, 7]               0
           Conv2d-16            [-1, 512, 3, 3]       2,359,808
      BatchNorm2d-17            [-1, 512, 3, 3]           1,024
        Dropout2d-18            [-1, 512, 3, 3]               0
  ConvTranspose2d-19            [-1, 512, 7, 7]       2,359,808
      BatchNorm2d-20            [-1, 512, 7, 7]           1,024
        Dropout2d-21            [-1, 512, 7, 7]               0
  ConvTranspose2d-22          [-1, 256, 15, 15]       2,359,552
      BatchNorm2d-23          [-1, 256, 15, 15]             512
        Dropout2d-24          [-1, 256, 15, 15]               0
  ConvTranspose2d-25          [-1, 128, 33, 33]       1,638,528
      BatchNorm2d-26          [-1, 128, 33, 33]             256
        Dropout2d-27          [-1, 128, 33, 33]               0
  ConvTranspose3d-28        [-1, 64, 3, 69, 69]       1,228,864
      BatchNorm3d-29        [-1, 64, 3, 69, 69]             128
        Dropout3d-30        [-1, 64, 3, 69, 69]               0
  ConvTranspose3d-31      [-1, 32, 9, 139, 139]         184,352
      BatchNorm3d-32      [-1, 32, 9, 139, 139]              64
        Dropout3d-33      [-1, 32, 9, 139, 139]               0
  ConvTranspose3d-34      [-1, 1, 21, 281, 281]           8,001
      BatchNorm3d-35      [-1, 1, 21, 281, 281]               2
        Dropout3d-36      [-1, 1, 21, 281, 281]               0
           Conv2d-37          [-1, 4, 281, 281]             172
================================================================
Total params: 12,854,479
Trainable params: 12,854,479
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 6.33
Forward/backward pass size (MB): 347.20
Params size (MB): 49.04
Estimated Total Size (MB): 402.56
----------------------------------------------------------------
===================End of Net Architecture =====================

Info: program will use 4 GPUs.
Hints: Test Dice_0 is the dice coeff for all non-zero labels
Hints: Test Dice_1 is for primary cancer(green), test Dice_2 is for metastasis(yellow), and test Dice_3 is for invaded lymph node(brown).
Hints: Test TPR_0 is the TPR for all non-zero labels
Hints: Test TPR_1 is for primary cancer(green), TPR_2 is for metastasis(yellow), and TPR_3 is for invaded lymph node(brown).

Epoch 	 TrainingLoss 	 TestLoss 	 Dice_0	Dice_1	Dice_2	Dice_3 	 TPR_0	TPR_1	TPR_2	TPR_3
  



(base) [c-xwu000:OvarianCancer]#/home/hxie1/anaconda3/bin/python  /home/hxie1/Projects/OvarianCancer/TrainSegV.py /home/hxie1/temp_netParameters/OvarianCancer/Label0_1 /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainImages /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainLabels 2D 0,1

Program starting Time:  2019-05-01 11:51:14.293237
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/Label0_1

Infor: program test labels:  [0, 1]
Infor: program suppressed labels:  [2, 3]
Infor: program test labels:  [0, 1]
Infor: program suppressed labels:  [2, 3]
Building the Segmented Slice Tuple list, which may need 8 mins, please waiting......
Directory of /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainLabels has 164 segmented slices for remained labels [0, 1].
Building the Segmented Slice Tuple list, which may need 8 mins, please waiting......
Directory of /home/hxie1/data/OvarianCancerCT/Extract_uniform/testLabels has 31 segmented slices for remained labels [0, 1].
Info: program uses 2D input.
TrainData Input:  batchSize=8, depth=1, height=281, width=281, NumClassfication=2

TestData Input:  batchSize=8, depth=1, height=281, width=281, NumClassfication=2

Network trains from scratch.
Network has total 278275330 parameters.
Info: network dropout rate = 0.3
Infor: Cross Entropy Weight:  [1.0260619741432382, 39.37007874015748]

====================Net Architecture===========================
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1        [-1, 128, 281, 281]           1,280
       BatchNorm2d-2        [-1, 128, 281, 281]             256
            Conv2d-3        [-1, 128, 281, 281]         147,584
       BatchNorm2d-4        [-1, 128, 281, 281]             256
              ReLU-5        [-1, 128, 281, 281]               0
            Conv2d-6        [-1, 128, 281, 281]         147,584
       BatchNorm2d-7        [-1, 128, 281, 281]             256
              ReLU-8        [-1, 128, 281, 281]               0
    ConvSequential-9        [-1, 128, 281, 281]               0
           Conv2d-10        [-1, 128, 139, 139]         409,728
      BatchNorm2d-11        [-1, 128, 139, 139]             256
           Conv2d-12        [-1, 128, 139, 139]         147,584
      BatchNorm2d-13        [-1, 128, 139, 139]             256
           Conv2d-14        [-1, 128, 139, 139]         147,584
      BatchNorm2d-15        [-1, 128, 139, 139]             256
             ReLU-16        [-1, 128, 139, 139]               0
           Conv2d-17        [-1, 128, 139, 139]         147,584
      BatchNorm2d-18        [-1, 128, 139, 139]             256
             ReLU-19        [-1, 128, 139, 139]               0
   ConvSequential-20        [-1, 128, 139, 139]               0
         Down2dBB-21        [-1, 128, 139, 139]               0
        Dropout2d-22        [-1, 128, 139, 139]               0
           Conv2d-23          [-1, 256, 69, 69]         295,168
      BatchNorm2d-24          [-1, 256, 69, 69]             512
           Conv2d-25          [-1, 256, 69, 69]         590,080
      BatchNorm2d-26          [-1, 256, 69, 69]             512
           Conv2d-27          [-1, 256, 69, 69]         590,080
      BatchNorm2d-28          [-1, 256, 69, 69]             512
             ReLU-29          [-1, 256, 69, 69]               0
           Conv2d-30          [-1, 256, 69, 69]         590,080
      BatchNorm2d-31          [-1, 256, 69, 69]             512
             ReLU-32          [-1, 256, 69, 69]               0
   ConvSequential-33          [-1, 256, 69, 69]               0
         Down2dBB-34          [-1, 256, 69, 69]               0
        Dropout2d-35          [-1, 256, 69, 69]               0
           Conv2d-36          [-1, 512, 33, 33]       3,277,312
      BatchNorm2d-37          [-1, 512, 33, 33]           1,024
           Conv2d-38          [-1, 512, 33, 33]       2,359,808
      BatchNorm2d-39          [-1, 512, 33, 33]           1,024
           Conv2d-40          [-1, 512, 33, 33]       2,359,808
      BatchNorm2d-41          [-1, 512, 33, 33]           1,024
             ReLU-42          [-1, 512, 33, 33]               0
           Conv2d-43          [-1, 512, 33, 33]       2,359,808
      BatchNorm2d-44          [-1, 512, 33, 33]           1,024
             ReLU-45          [-1, 512, 33, 33]               0
   ConvSequential-46          [-1, 512, 33, 33]               0
         Down2dBB-47          [-1, 512, 33, 33]               0
        Dropout2d-48          [-1, 512, 33, 33]               0
           Conv2d-49         [-1, 1024, 15, 15]      13,108,224
      BatchNorm2d-50         [-1, 1024, 15, 15]           2,048
           Conv2d-51         [-1, 1024, 15, 15]       9,438,208
      BatchNorm2d-52         [-1, 1024, 15, 15]           2,048
           Conv2d-53         [-1, 1024, 15, 15]       9,438,208
      BatchNorm2d-54         [-1, 1024, 15, 15]           2,048
             ReLU-55         [-1, 1024, 15, 15]               0
           Conv2d-56         [-1, 1024, 15, 15]       9,438,208
      BatchNorm2d-57         [-1, 1024, 15, 15]           2,048
             ReLU-58         [-1, 1024, 15, 15]               0
   ConvSequential-59         [-1, 1024, 15, 15]               0
         Down2dBB-60         [-1, 1024, 15, 15]               0
        Dropout2d-61         [-1, 1024, 15, 15]               0
           Conv2d-62           [-1, 2048, 7, 7]      18,876,416
      BatchNorm2d-63           [-1, 2048, 7, 7]           4,096
           Conv2d-64           [-1, 2048, 7, 7]      37,750,784
      BatchNorm2d-65           [-1, 2048, 7, 7]           4,096
           Conv2d-66           [-1, 2048, 7, 7]      37,750,784
      BatchNorm2d-67           [-1, 2048, 7, 7]           4,096
             ReLU-68           [-1, 2048, 7, 7]               0
           Conv2d-69           [-1, 2048, 7, 7]      37,750,784
      BatchNorm2d-70           [-1, 2048, 7, 7]           4,096
             ReLU-71           [-1, 2048, 7, 7]               0
   ConvSequential-72           [-1, 2048, 7, 7]               0
         Down2dBB-73           [-1, 2048, 7, 7]               0
        Dropout2d-74           [-1, 2048, 7, 7]               0
  ConvTranspose2d-75         [-1, 1024, 15, 15]      18,875,392
      BatchNorm2d-76         [-1, 1024, 15, 15]           2,048
           Conv2d-77         [-1, 1024, 15, 15]       9,438,208
      BatchNorm2d-78         [-1, 1024, 15, 15]           2,048
           Conv2d-79         [-1, 1024, 15, 15]       9,438,208
      BatchNorm2d-80         [-1, 1024, 15, 15]           2,048
             ReLU-81         [-1, 1024, 15, 15]               0
           Conv2d-82         [-1, 1024, 15, 15]       9,438,208
      BatchNorm2d-83         [-1, 1024, 15, 15]           2,048
             ReLU-84         [-1, 1024, 15, 15]               0
   ConvSequential-85         [-1, 1024, 15, 15]               0
           Up2dBB-86         [-1, 1024, 15, 15]               0
        Dropout2d-87         [-1, 1024, 15, 15]               0
        Dropout2d-88         [-1, 1024, 15, 15]               0
  ConvTranspose2d-89          [-1, 512, 33, 33]      26,214,912
      BatchNorm2d-90          [-1, 512, 33, 33]           1,024
           Conv2d-91          [-1, 512, 33, 33]       2,359,808
      BatchNorm2d-92          [-1, 512, 33, 33]           1,024
           Conv2d-93          [-1, 512, 33, 33]       2,359,808
      BatchNorm2d-94          [-1, 512, 33, 33]           1,024
             ReLU-95          [-1, 512, 33, 33]               0
           Conv2d-96          [-1, 512, 33, 33]       2,359,808
      BatchNorm2d-97          [-1, 512, 33, 33]           1,024
             ReLU-98          [-1, 512, 33, 33]               0
   ConvSequential-99          [-1, 512, 33, 33]               0
          Up2dBB-100          [-1, 512, 33, 33]               0
       Dropout2d-101          [-1, 512, 33, 33]               0
       Dropout2d-102          [-1, 512, 33, 33]               0
 ConvTranspose2d-103          [-1, 256, 69, 69]       6,553,856
     BatchNorm2d-104          [-1, 256, 69, 69]             512
          Conv2d-105          [-1, 256, 69, 69]         590,080
     BatchNorm2d-106          [-1, 256, 69, 69]             512
          Conv2d-107          [-1, 256, 69, 69]         590,080
     BatchNorm2d-108          [-1, 256, 69, 69]             512
            ReLU-109          [-1, 256, 69, 69]               0
          Conv2d-110          [-1, 256, 69, 69]         590,080
     BatchNorm2d-111          [-1, 256, 69, 69]             512
            ReLU-112          [-1, 256, 69, 69]               0
  ConvSequential-113          [-1, 256, 69, 69]               0
          Up2dBB-114          [-1, 256, 69, 69]               0
       Dropout2d-115          [-1, 256, 69, 69]               0
       Dropout2d-116          [-1, 256, 69, 69]               0
 ConvTranspose2d-117        [-1, 128, 139, 139]         589,952
     BatchNorm2d-118        [-1, 128, 139, 139]             256
          Conv2d-119        [-1, 128, 139, 139]         147,584
     BatchNorm2d-120        [-1, 128, 139, 139]             256
          Conv2d-121        [-1, 128, 139, 139]         147,584
     BatchNorm2d-122        [-1, 128, 139, 139]             256
            ReLU-123        [-1, 128, 139, 139]               0
          Conv2d-124        [-1, 128, 139, 139]         147,584
     BatchNorm2d-125        [-1, 128, 139, 139]             256
            ReLU-126        [-1, 128, 139, 139]               0
  ConvSequential-127        [-1, 128, 139, 139]               0
          Up2dBB-128        [-1, 128, 139, 139]               0
       Dropout2d-129        [-1, 128, 139, 139]               0
       Dropout2d-130        [-1, 128, 139, 139]               0
 ConvTranspose2d-131        [-1, 128, 281, 281]         819,328
     BatchNorm2d-132        [-1, 128, 281, 281]             256
          Conv2d-133        [-1, 128, 281, 281]         147,584
     BatchNorm2d-134        [-1, 128, 281, 281]             256
          Conv2d-135        [-1, 128, 281, 281]         147,584
     BatchNorm2d-136        [-1, 128, 281, 281]             256
            ReLU-137        [-1, 128, 281, 281]               0
          Conv2d-138        [-1, 128, 281, 281]         147,584
     BatchNorm2d-139        [-1, 128, 281, 281]             256
            ReLU-140        [-1, 128, 281, 281]               0
  ConvSequential-141        [-1, 128, 281, 281]               0
          Up2dBB-142        [-1, 128, 281, 281]               0
       Dropout2d-143        [-1, 128, 281, 281]               0
       Dropout2d-144        [-1, 128, 281, 281]               0
          Conv2d-145          [-1, 2, 281, 281]             514
================================================================
Total params: 278,275,330
Trainable params: 278,275,330
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.30
Forward/backward pass size (MB): 2707.52
Params size (MB): 1061.54
Estimated Total Size (MB): 3769.36
----------------------------------------------------------------
===================End of Net Architecture =====================

Info: program will use 4 GPUs.
Loss Functions List:  FocalCELoss with weight of 1; 	BoundaryLoss with weight of 0; 
Hints: Test Dice_0 is the dice coeff for all non-zero labels
Hints: Test Dice_1 is for primary cancer(green), test Dice_2 is for metastasis(yellow), and test Dice_3 is for invaded lymph node(brown).
Hints: Test TPR_0 is the TPR for all non-zero labels
Hints: Test TPR_1 is for primary cancer(green), TPR_2 is for metastasis(yellow), and TPR_3 is for invaded lymph node(brown).

Epoch 	 TrainingLoss 	 TestLoss 	 Dice_0	Dice_1 	 TPR_0	TPR_1
0 	 0.0935 	 0.0822 	 0.289	0.289 	 0.995	0.995
1 	 0.0645 	 0.1143 	 0.324	0.324 	 0.953	0.953
2 	 0.0558 	 0.0592 	 0.523	0.523 	 0.934	0.934
3 	 0.0553 	 0.3037 	 0.335	0.335 	 0.355	0.355
4 	 0.0532 	 0.0992 	 0.537	0.537 	 0.927	0.927
5 	 0.0550 	 0.1092 	 0.388	0.388 	 0.947	0.947
6 	 0.0503 	 0.0931 	 0.550	0.550 	 0.873	0.873
7 	 0.0462 	 0.0432 	 0.507	0.507 	 0.979	0.979
8 	 0.0530 	 0.1319 	 0.464	0.464 	 0.923	0.923
9 	 0.0472 	 0.0476 	 0.568	0.568 	 0.951	0.951
10 	 0.0511 	 0.0565 	 0.580	0.580 	 0.946	0.946
11 	 0.0450 	 0.0579 	 0.424	0.424 	 0.977	0.977
12 	 0.0440 	 0.0387 	 0.548	0.548 	 0.978	0.978
13 	 0.0436 	 0.0420 	 0.410	0.410 	 0.994	0.994
14 	 0.0481 	 0.1093 	 0.562	0.562 	 0.937	0.937
15 	 0.0437 	 0.0922 	 0.580	0.580 	 0.929	0.929
16 	 0.0400 	 0.0794 	 0.479	0.479 	 0.949	0.949
17 	 0.0458 	 0.0601 	 0.581	0.581 	 0.940	0.940
18 	 0.0409 	 0.0372 	 0.539	0.539 	 0.983	0.983
19 	 0.0393 	 0.0415 	 0.544	0.544 	 0.974	0.974
20 	 0.0370 	 0.0711 	 0.583	0.583 	 0.947	0.947
21 	 0.0364 	 0.0523 	 0.583	0.583 	 0.949	0.949
22 	 0.0393 	 0.2306 	 0.576	0.576 	 0.909	0.909
23 	 0.0431 	 0.0543 	 0.568	0.568 	 0.962	0.962
24 	 0.0516 	 0.4236 	 0.549	0.549 	 0.546	0.546
25 	 0.0526 	 0.0622 	 0.598	0.598 	 0.943	0.943
26 	 0.0459 	 0.0634 	 0.528	0.528 	 0.943	0.943
27 	 0.0414 	 0.0417 	 0.439	0.439 	 0.980	0.980
28 	 0.0370 	 0.0416 	 0.422	0.422 	 0.996	0.996
29 	 0.0395 	 0.0444 	 0.542	0.542 	 0.972	0.972
30 	 0.0510 	 0.0864 	 0.521	0.521 	 0.942	0.942
31 	 0.0394 	 0.0738 	 0.666	0.666 	 0.920	0.920
32 	 0.0412 	 0.1172 	 0.549	0.549 	 0.929	0.929
33 	 0.0413 	 0.0386 	 0.556	0.556 	 0.975	0.975
34 	 0.0372 	 0.0480 	 0.598	0.598 	 0.954	0.954
35 	 0.0358 	 0.0373 	 0.572	0.572 	 0.972	0.972
36 	 0.0377 	 0.0801 	 0.560	0.560 	 0.937	0.937
37 	 0.0363 	 0.0361 	 0.610	0.610 	 0.966	0.966
38 	 0.0334 	 0.0505 	 0.563	0.563 	 0.948	0.948
39 	 0.0472 	 0.0472 	 0.496	0.496 	 0.970	0.970
40 	 0.0417 	 0.0396 	 0.545	0.545 	 0.969	0.969
41 	 0.0412 	 0.0694 	 0.588	0.588 	 0.943	0.943
42 	 0.0420 	 0.1053 	 0.611	0.611 	 0.900	0.900
43 	 0.0395 	 0.0690 	 0.588	0.588 	 0.940	0.940
44 	 0.0388 	 0.0623 	 0.627	0.627 	 0.933	0.933
45 	 0.0353 	 0.0454 	 0.548	0.548 	 0.966	0.966
46 	 0.0351 	 0.0514 	 0.584	0.584 	 0.952	0.952
47 	 0.0307 	 0.0593 	 0.627	0.627 	 0.936	0.936
48 	 0.0357 	 0.0877 	 0.475	0.475 	 0.940	0.940
49 	 0.0401 	 0.0581 	 0.602	0.602 	 0.956	0.956
50 	 0.0339 	 0.0476 	 0.626	0.626 	 0.969	0.969
51 	 0.0327 	 0.0499 	 0.652	0.652 	 0.958	0.958
52 	 0.0321 	 0.0512 	 0.586	0.586 	 0.973	0.973
53 	 0.0388 	 0.0941 	 0.619	0.619 	 0.914	0.914
54 	 0.0384 	 0.0702 	 0.603	0.603 	 0.919	0.919
55 	 0.0330 	 0.0345 	 0.602	0.602 	 0.980	0.980
56 	 0.0337 	 0.0411 	 0.610	0.610 	 0.974	0.974
57 	 0.0314 	 0.0320 	 0.578	0.578 	 0.986	0.986
58 	 0.0330 	 0.0603 	 0.445	0.445 	 0.976	0.976
59 	 0.0326 	 0.0580 	 0.608	0.608 	 0.960	0.960
60 	 0.0297 	 0.0452 	 0.596	0.596 	 0.978	0.978
61 	 0.0306 	 0.0578 	 0.631	0.631 	 0.959	0.959
62 	 0.0325 	 0.0465 	 0.623	0.623 	 0.971	0.971
63 	 0.0352 	 0.0630 	 0.615	0.615 	 0.942	0.942
64 	 0.0303 	 0.0648 	 0.650	0.650 	 0.935	0.935
65 	 0.0313 	 0.0668 	 0.639	0.639 	 0.946	0.946
66 	 0.0426 	 0.0486 	 0.538	0.538 	 0.971	0.971
67 	 0.0325 	 0.0738 	 0.635	0.635 	 0.944	0.944
68 	 0.0320 	 0.0501 	 0.617	0.617 	 0.958	0.958
69 	 0.0316 	 0.0260 	 0.613	0.613 	 0.987	0.987
70 	 0.0291 	 0.0729 	 0.666	0.666 	 0.951	0.951
71 	 0.0328 	 0.0442 	 0.603	0.603 	 0.971	0.971
72 	 0.0307 	 0.0468 	 0.628	0.628 	 0.950	0.950
73 	 0.0321 	 0.0479 	 0.606	0.606 	 0.965	0.965
74 	 0.0281 	 0.0461 	 0.607	0.607 	 0.961	0.961
75 	 0.0347 	 0.0645 	 0.591	0.591 	 0.966	0.966
76 	 0.0323 	 0.0624 	 0.602	0.602 	 0.958	0.958
77 	 0.0300 	 0.0425 	 0.618	0.618 	 0.969	0.969
78 	 0.0275 	 0.0448 	 0.636	0.636 	 0.963	0.963
79 	 0.0296 	 0.0384 	 0.599	0.599 	 0.985	0.985
80 	 0.0280 	 0.0335 	 0.629	0.629 	 0.984	0.984
81 	 0.0305 	 0.0684 	 0.591	0.591 	 0.953	0.953
82 	 0.0297 	 0.0528 	 0.632	0.632 	 0.969	0.969
83 	 0.0298 	 0.0409 	 0.625	0.625 	 0.980	0.980
84 	 0.0292 	 0.0812 	 0.609	0.609 	 0.945	0.945
85 	 0.0268 	 0.0820 	 0.613	0.613 	 0.948	0.948
86 	 0.0298 	 0.0984 	 0.653	0.653 	 0.949	0.949
87 	 0.0306 	 0.0386 	 0.638	0.638 	 0.973	0.973
88 	 0.0319 	 0.0389 	 0.560	0.560 	 0.982	0.982
89 	 0.0283 	 0.0436 	 0.645	0.645 	 0.972	0.972
90 	 0.0275 	 0.0552 	 0.668	0.668 	 0.946	0.946
91 	 0.0267 	 0.0624 	 0.695	0.695 	 0.959	0.959
92 	 0.0296 	 0.0499 	 0.640	0.640 	 0.972	0.972
93 	 0.0274 	 0.0482 	 0.632	0.632 	 0.969	0.969
94 	 0.0267 	 0.0480 	 0.650	0.650 	 0.970	0.970
95 	 0.0282 	 0.0477 	 0.649	0.649 	 0.976	0.976
96 	 0.0275 	 0.0376 	 0.647	0.647 	 0.979	0.979
97 	 0.0278 	 0.0685 	 0.683	0.683 	 0.949	0.949
98 	 0.0279 	 0.0438 	 0.729	0.729 	 0.948	0.948
99 	 0.0319 	 0.0762 	 0.631	0.631 	 0.956	0.956
100 	 0.0288 	 0.0528 	 0.615	0.615 	 0.969	0.969
101 	 0.0264 	 0.0484 	 0.647	0.647 	 0.970	0.970
102 	 0.0263 	 0.0620 	 0.642	0.642 	 0.953	0.953
103 	 0.0249 	 0.0528 	 0.644	0.644 	 0.957	0.957
104 	 0.0266 	 0.0578 	 0.632	0.632 	 0.959	0.959
105 	 0.0254 	 0.0852 	 0.695	0.695 	 0.922	0.922  (at this epoch, boundary loss has a weight of 0.01)
106 	 0.0248 	 0.0551 	 0.650	0.650 	 0.954	0.954
107 	 0.0244 	 0.0634 	 0.661	0.661 	 0.936	0.936
108 	 0.0237 	 0.0783 	 0.667	0.667 	 0.933	0.933
109 	 0.0250 	 0.0426 	 0.630	0.630 	 0.970	0.970
110 	 0.0238 	 0.0518 	 0.661	0.661 	 0.957	0.957
111 	 0.0215 	 0.0477 	 0.679	0.679 	 0.949	0.949
112 	 0.0241 	 0.0541 	 0.676	0.676 	 0.956	0.956
113 	 0.0228 	 0.0595 	 0.656	0.656 	 0.952	0.952
114 	 0.0219 	 0.0981 	 0.652	0.652 	 0.930	0.930
115 	 0.0228 	 0.0750 	 0.651	0.651 	 0.939	0.939
116 	 0.0295 	 0.0557 	 0.663	0.663 	 0.969	0.969
117 	 0.0228 	 0.0572 	 0.689	0.689 	 0.948	0.948
118 	 0.0242 	 0.0540 	 0.651	0.651 	 0.949	0.949
119 	 0.0240 	 0.0715 	 0.684	0.684 	 0.935	0.935
120 	 0.0252 	 0.0491 	 0.634	0.634 	 0.961	0.961
121 	 0.0223 	 0.0663 	 0.667	0.667 	 0.935	0.935
122 	 0.0233 	 0.0437 	 0.672	0.672 	 0.947	0.947
123 	 0.0231 	 0.0548 	 0.683	0.683 	 0.937	0.937
124 	 0.0204 	 0.0441 	 0.693	0.693 	 0.948	0.948
125 	 0.0224 	 0.0521 	 0.683	0.683 	 0.935	0.935
126 	 0.0238 	 0.0722 	 0.669	0.669 	 0.930	0.930
127 	 0.0212 	 0.0666 	 0.689	0.689 	 0.919	0.919
128 	 0.0202 	 0.0420 	 0.688	0.688 	 0.947	0.947
129 	 0.0204 	 0.0596 	 0.645	0.645 	 0.930	0.930
130 	 0.0221 	 0.0545 	 0.690	0.690 	 0.949	0.949
131 	 0.0217 	 0.0585 	 0.673	0.673 	 0.949	0.949
132 	 0.0212 	 0.0476 	 0.676	0.676 	 0.968	0.968
133 	 0.0222 	 0.0398 	 0.691	0.691 	 0.971	0.971
134 	 0.0210 	 0.0430 	 0.694	0.694 	 0.963	0.963
135 	 0.0196 	 0.0516 	 0.671	0.671 	 0.950	0.950
136 	 0.0191 	 0.0521 	 0.690	0.690 	 0.941	0.941
137 	 0.0191 	 0.0441 	 0.691	0.691 	 0.957	0.957
138 	 0.0194 	 0.0440 	 0.707	0.707 	 0.953	0.953
139 	 0.0191 	 0.0567 	 0.674	0.674 	 0.943	0.943
140 	 0.0193 	 0.0511 	 0.677	0.677 	 0.956	0.956
141 	 0.0201 	 0.0671 	 0.703	0.703 	 0.938	0.938
142 	 0.0202 	 0.0709 	 0.674	0.674 	 0.939	0.939
143 	 0.0189 	 0.0712 	 0.718	0.718 	 0.930	0.930
144 	 0.0206 	 0.0346 	 0.696	0.696 	 0.962	0.962
145 	 0.0238 	 0.0626 	 0.656	0.656 	 0.968	0.968
146 	 0.0203 	 0.0475 	 0.643	0.643 	 0.973	0.973
147 	 0.0201 	 0.0516 	 0.666	0.666 	 0.965	0.965
148 	 0.0186 	 0.0651 	 0.700	0.700 	 0.950	0.950
149 	 0.0196 	 0.0591 	 0.670	0.670 	 0.961	0.961
150 	 0.0199 	 0.0594 	 0.696	0.696 	 0.952	0.952
151 	 0.0220 	 0.0310 	 0.653	0.653 	 0.984	0.984
152 	 0.0190 	 0.0374 	 0.710	0.710 	 0.969	0.969
153 	 0.0210 	 0.0567 	 0.685	0.685 	 0.949	0.949
154 	 0.0187 	 0.0496 	 0.719	0.719 	 0.954	0.954
155 	 0.0188 	 0.0439 	 0.694	0.694 	 0.970	0.970
156 	 0.0192 	 0.0544 	 0.669	0.669 	 0.970	0.970
157 	 0.0199 	 0.0457 	 0.685	0.685 	 0.973	0.973
158 	 0.0198 	 0.0439 	 0.687	0.687 	 0.971	0.971
159 	 0.0191 	 0.0389 	 0.689	0.689 	 0.975	0.975
160 	 0.0188 	 0.0580 	 0.690	0.690 	 0.953	0.953
161 	 0.0189 	 0.0650 	 0.698	0.698 	 0.949	0.949
162 	 0.0185 	 0.0735 	 0.704	0.704 	 0.939	0.939
163 	 0.0182 	 0.0663 	 0.698	0.698 	 0.943	0.943
164 	 0.0194 	 0.0614 	 0.692	0.692 	 0.947	0.947
165 	 0.0176 	 0.0677 	 0.692	0.692 	 0.943	0.943
166 	 0.0182 	 0.0603 	 0.694	0.694 	 0.948	0.948
167 	 0.0169 	 0.0600 	 0.694	0.694 	 0.949	0.949
168 	 0.0185 	 0.0418 	 0.706	0.706 	 0.970	0.970
169 	 0.0167 	 0.0505 	 0.707	0.707 	 0.953	0.953
170 	 0.0211 	 0.0415 	 0.669	0.669 	 0.972	0.972
171 	 0.0225 	 0.0467 	 0.691	0.691 	 0.969	0.969
172 	 0.0197 	 0.0434 	 0.672	0.672 	 0.972	0.972
173 	 0.0198 	 0.0476 	 0.670	0.670 	 0.964	0.964
174 	 0.0182 	 0.0452 	 0.674	0.674 	 0.971	0.971
175 	 0.0193 	 0.0524 	 0.715	0.715 	 0.955	0.955
176 	 0.0172 	 0.0451 	 0.709	0.709 	 0.965	0.965
177 	 0.0172 	 0.0602 	 0.705	0.705 	 0.948	0.948
178 	 0.0183 	 0.0510 	 0.704	0.704 	 0.955	0.955
179 	 0.0203 	 0.0420 	 0.672	0.672 	 0.973	0.973
180 	 0.0170 	 0.0590 	 0.704	0.704 	 0.951	0.951
181 	 0.0189 	 0.0513 	 0.706	0.706 	 0.961	0.961
182 	 0.0178 	 0.0616 	 0.706	0.706 	 0.944	0.944
183 	 0.0185 	 0.0572 	 0.689	0.689 	 0.950	0.950
184 	 0.0193 	 0.0282 	 0.699	0.699 	 0.982	0.982
...
327 	 0.0105 	 0.0357 	 0.732	0.732 	 0.949	0.949
328 	 0.0102 	 0.0367 	 0.732	0.732 	 0.942	0.942
329 	 0.0120 	 0.0337 	 0.727	0.727 	 0.951	0.951
330 	 0.0098 	 0.0331 	 0.733	0.733 	 0.949	0.949
